34,0,14,20,1
36,-2,16,16,1
42,-2,24,18,1
38,4,24,18,1
36,6,22,20,1
38,4,22,20,1
36,2,22,18,1
32,2,22,16,1
28,4,24,18,1
38,2,28,20,1
36,4,32,22,1
34,2,26,24,1
24,0,20,22,1
20,-2,20,22,1
16,-4,18,22,1
18,-2,16,20,1
16,-2,14,20,1
18,0,14,22,1
22,-2,14,22,1
20,2,8,18,1
20,2,8,18,1
22,6,12,16,1
22,8,16,18,1
28,8,20,18,1
36,8,18,18,1
42,4,20,20,1
44,4,24,20,1
46,4,24,22,1
42,4,22,22,1
40,4,26,22,1
40,10,30,22,1
40,6,28,26,1
40,0,28,26,1
38,-4,26,26,1
30,-4,26,28,1
26,0,24,28,1
30,0,30,28,1
28,0,30,28,1
32,0,30,28,1
32,-4,30,28,1
30,-10,32,28,1
30,-6,32,26,1
32,-4,30,24,1
36,-2,28,26,1
38,-2,34,24,1
34,-2,34,22,1
28,-4,26,20,1
30,-4,26,18,1
28,0,26,18,1
28,2,26,18,1
30,8,22,18,1
28,2,20,18,1
28,2,26,20,1
22,4,26,18,1
26,4,22,18,1
28,0,14,20,1
26,2,18,22,1
24,0,16,22,1
26,-4,12,22,1
28,-4,8,22,1
26,-12,4,22,1
24,-6,8,24,1
22,-8,-4,20,1
26,-8,-2,-2,1
26,-6,-6,-2,1
28,-4,-8,-14,1
26,-10,6,-24,1
22,-6,-4,-20,1
20,-6,-12,-26,1
20,-6,-12,-26,1
22,-10,-16,-24,1
26,-10,-20,-22,1
28,-6,-2,-16,1
22,-6,0,2,1
20,-8,0,-6,1
18,-6,14,4,1
22,-4,-16,22,1
28,-6,-4,32,1
30,-6,8,32,1
26,-10,16,30,1
22,-4,18,24,1
20,-6,60,6,1
20,-4,54,2,1
28,0,50,12,1
28,0,52,16,1
30,-2,38,24,1
30,-2,24,12,1
28,-4,26,-6,1
28,-8,26,2,1
30,-6,16,6,1
30,-4,34,20,1
34,-2,-4,32,1
32,-2,-18,30,1
22,-4,-28,32,1
24,-2,-12,34,1
22,-4,4,26,1
24,-2,30,26,1
26,2,30,38,1
22,10,22,34,1
26,8,30,32,1
26,8,20,24,1
22,8,20,32,1
22,2,38,30,1
28,0,54,22,1
24,4,42,36,1
28,12,26,42,1
32,18,34,46,1
26,18,32,40,1
32,16,44,44,1
24,20,40,42,1
28,18,36,40,1
30,16,28,30,1
30,20,20,42,1
34,16,26,30,1
36,14,14,12,1
34,6,38,6,1
26,2,20,10,1
26,0,28,12,1
22,-4,24,12,1
30,-4,28,10,1
30,0,48,4,1
32,2,56,14,1
22,-4,54,8,1
20,4,46,16,1
14,0,52,34,1
14,0,38,36,1
18,2,42,22,1
22,0,54,20,1
22,6,60,14,1
22,4,56,18,1
20,0,42,20,1
18,-2,38,14,1
30,4,46,20,1
28,0,50,22,1
30,2,76,30,1
32,2,70,26,1
32,-4,74,36,1
32,-4,52,30,1
34,-6,48,26,1
24,-4,62,22,1
30,-6,72,26,1
26,-10,78,16,1
26,-14,78,0,1
30,-12,68,4,1
34,-16,60,-6,1
32,-14,66,-8,1
28,-6,66,-2,1
30,-8,68,-2,1
28,-8,74,6,1
34,-10,68,4,1
28,-8,58,-4,1
32,-2,60,-4,1
30,4,34,6,1
26,-2,40,2,1
24,-2,16,-4,1
24,-6,34,10,1
26,-14,38,6,1
26,-10,40,16,1
30,-14,20,24,1
32,-12,14,30,1
30,-12,10,60,1
28,-12,6,62,1
28,-14,36,58,1
28,-14,30,60,1
30,-8,44,62,1
26,-2,14,42,1
28,2,14,34,1
26,4,4,20,1
18,10,18,14,1
20,2,16,14,1
28,4,18,-14,1
24,2,10,0,1
28,6,4,2,1
32,8,16,6,1
24,8,14,4,1
28,0,26,22,1
32,-4,10,18,1
30,-10,26,16,1
34,-16,30,10,1
26,-8,40,10,1
24,-10,38,18,1
24,-8,32,32,1
20,-14,36,32,1
22,-10,30,18,1
26,-12,34,8,1
24,-4,18,4,1
20,0,48,18,1
24,6,42,22,1
28,16,46,16,1
32,18,42,16,1
30,16,18,20,1
30,14,24,-4,1
32,14,28,-4,1
26,10,28,4,1
28,12,16,18,1
24,12,30,18,1
12,12,24,6,1
14,12,20,20,1
14,8,-12,26,1
8,4,-24,22,1
6,8,-6,12,1
6,10,8,2,1
8,12,2,-2,1
6,10,14,-2,1
4,6,28,-8,1
8,6,46,-8,1
18,4,38,2,1
18,0,34,-6,1
20,-2,66,-6,1
26,0,76,-6,1
28,-2,80,4,1
30,-6,64,10,1
24,-6,64,18,1
22,2,40,28,1
22,2,56,28,1
22,4,38,36,1
26,4,36,38,1
20,4,30,40,1
16,0,30,46,1
12,4,20,50,1
12,2,14,54,1
10,6,34,60,1
10,6,36,54,1
22,4,52,44,1
24,6,26,44,1
24,2,32,40,1
22,0,30,50,1
24,4,38,56,1
16,10,22,54,1
20,0,28,46,1
22,-2,36,40,1
26,-2,28,38,1
24,-2,38,40,1
14,-4,30,42,1
16,-6,38,38,1
18,-8,22,30,1
14,-2,16,16,1
12,-4,10,10,1
22,-6,20,8,1
22,0,22,12,1
22,4,28,6,1
26,4,-4,6,1
32,6,-20,12,1
32,4,-10,26,1
28,6,-10,26,1
26,8,8,22,1
30,6,14,22,1
30,6,14,12,1
22,8,-8,4,1
22,10,-6,12,1
20,12,-8,14,1
20,8,16,20,1
18,6,18,16,1
18,8,16,10,1
18,8,14,12,1
16,8,0,14,1
16,8,14,16,1
18,12,20,24,1
22,12,32,32,1
24,8,32,18,1
18,4,38,14,1
14,8,44,4,1
16,8,36,-6,1
18,8,32,-12,1
22,10,34,-18,1
26,8,42,-20,1
26,10,34,-24,1
24,4,42,-26,1
26,2,50,-38,1
18,2,54,-36,1
24,2,44,-34,1
26,2,44,-34,1
22,4,32,-26,1
22,0,30,-28,1
24,-4,26,-22,1
22,-2,24,-14,1
18,0,22,-16,1
16,4,12,-10,1
18,6,22,0,1
18,8,30,8,1
10,10,38,10,1
14,6,42,12,1
18,0,68,6,1
18,2,78,0,1
16,0,82,6,1
12,2,90,8,1
16,-4,92,8,1
24,-2,94,2,1
22,-6,88,10,1
32,-6,80,16,1
40,-8,74,8,1
30,-4,50,18,1
24,-4,40,20,1
24,-2,28,28,1
24,2,22,16,1
28,-4,18,8,1
24,2,24,0,1
16,-2,30,4,1
10,0,28,2,1
6,2,12,-6,1
8,6,18,2,1
8,0,16,2,1
10,8,0,2,1
12,10,14,4,1
10,10,18,10,1
8,14,16,12,1
10,10,12,26,1
18,8,18,24,1
22,16,14,32,1
22,14,26,34,1
22,10,26,32,1
28,10,46,28,1
30,6,38,28,1
30,0,18,22,1
30,0,10,18,1
28,2,4,24,1
30,2,14,22,1
30,6,14,22,1
28,2,4,20,1
24,-2,-20,14,1
26,-6,-28,14,1
26,-2,-56,8,1
30,-2,-34,10,1
32,0,-18,22,1
34,-2,-14,20,1
40,-4,-4,18,1
38,-2,-16,14,1
34,-8,-22,16,1
38,-12,-12,8,1
44,-8,18,14,1
34,-4,10,8,1
36,-2,30,12,1
40,-6,38,20,1
36,-6,42,10,1
36,-6,58,16,1
36,-2,56,14,1
34,-2,46,18,1
34,-2,52,14,1
34,2,58,20,1
32,-2,46,14,1
